Column1,287C-Caecum_IgA,290B-Transverse_IgG,290B-Sigmoid_IgA,290B-Sigmoid_IgG,296B-Caecum_IgA,296C-Caecum_IgG,296C-Transverse_IgA,296C-Transverse_IgG,296C-Sigmoid_IgA,296C-Sigmoid_IgG,298C-Caecum_IgA,287C-Caecum_IgG,298C-Caecum_IgG,298C-Transverse_IgA,298C-Transverse_IgG,298C-Sigmoid_IgA,298C-Sigmoid_IgG,302C-Caecum_IgA,302C-Caecum_IgG,302C-Transverse_IgA,302C-Transverse_IgG,302C-Sigmoid_IgA,287C-Transverse_IgA,302C-Sigmoid_IgG,312C-Caecum_IgA,312C-Caecum_IgG,312C-Transverse_IgA,312C-Transverse_IgG,312C-Sigmoid_IgA,312C-Sigmoid_IgG,D8-fecal_IgA,D8-fecal_IgG,D8-fecal_IgG2,287C-Transverse_IgG,287C-Sigmoid_IgA,287C-Sigmoid_IgG,290B-Caecum_IgA,290B-Caecum_IgG,290B-Transverse_IgA
Selenomonas noxia,3,42,53,33,9,43,10,45,24,8,27,0,35,36,36,42,59,15,27,25,38,95,8,91,124,121,103,92,33,81,96,62,245,11,1,37,10,7,80
Flectobacillus major,5,216,189,225,7,6,14,0,73,19,14,0,6,83,49,2,5,47,42,124,301,25,17,35,17,38,8,2,7,19,2,16,0,11,50,56,5,7,156
Kyrpidia tusciae,10,57,87,55,10,8,17,13,26,6,17,0,28,83,81,22,30,9,7,81,93,15,27,21,142,124,162,142,198,108,21,25,45,33,5,27,3,1,58
Desulfurobacterium thermolithotrophum,0,254,168,258,17,12,19,3,78,30,33,0,32,65,106,15,12,18,29,28,23,87,4,82,31,46,13,15,5,19,5,18,4,7,52,41,10,11,242
Meiothermus timidus,6,58,13,51,8,41,17,54,30,21,11,0,15,115,108,23,33,6,5,126,187,12,29,14,118,99,128,96,136,68,46,25,0,28,17,47,24,10,63
Varibaculum cambriense,5,36,124,43,18,16,12,23,60,22,21,0,41,58,56,16,14,5,8,140,258,51,15,29,47,53,57,25,28,72,22,4,296,16,9,66,19,42,58
Campylobacter gracilis,0,39,17,12,9,1,4,5,28,7,7,0,2,10,30,3,13,23,23,36,20,42,0,73,12,13,8,8,1,25,6,6,0,2,3,33,288,966,107
Allobaculum stercoricanis,16,61,66,71,25,58,37,64,15,22,29,0,49,56,143,33,32,19,139,60,24,48,31,121,30,34,11,17,17,39,58,59,4,30,30,105,100,38,90
Saccharicrinis fermentans,0,40,24,25,6,2,20,5,33,4,6,0,2,19,8,68,49,18,13,23,122,34,4,15,229,158,269,178,257,113,28,20,15,3,11,15,16,15,13
Listeria innocua,4,48,58,39,3,0,10,1,20,7,86,0,59,88,91,35,47,124,109,59,136,15,5,250,22,35,9,19,0,20,11,9,342,9,10,24,5,3,67
Saccharospirillum impatiens,12,117,23,74,42,30,77,17,35,29,15,0,16,110,74,17,20,8,11,43,87,63,28,30,71,79,145,89,118,95,11,21,1,22,30,82,5,7,124
Streptococcus cristatus,6,110,42,49,20,11,9,7,60,48,10,0,12,118,93,10,14,7,35,20,36,63,5,73,11,68,28,19,1,72,36,20,4,9,4,27,275,290,148
Staphylococcus pettenkoferi,7,50,233,47,5,6,5,5,10,43,5,0,2,59,49,0,1,6,6,86,135,6,11,4,2,5,2,5,3,32,7,18,543,39,7,38,23,7,344
Pontibacter actiniarum,4,81,28,41,12,14,17,15,35,18,6,0,8,67,48,33,20,28,46,71,218,33,9,36,140,139,171,152,150,64,41,20,1,13,7,19,3,6,27
Actinomyces vaccimaxillae,0,17,37,26,6,10,8,10,50,11,15,0,34,33,17,30,44,9,11,150,457,27,1,38,101,73,116,80,123,57,15,7,1,6,8,14,63,104,17
Kroppenstedtia eburnea,7,44,13,20,9,18,20,13,22,14,20,0,35,40,51,33,65,3,3,189,99,21,17,29,86,69,101,76,103,100,27,19,358,9,0,7,29,5,52
Meiothermus rufus,4,67,26,30,5,20,10,37,13,8,9,0,6,59,38,14,14,15,21,88,115,36,14,27,130,140,180,164,201,152,21,13,0,10,9,17,3,18,85
Kingella oralis,3,148,62,24,13,25,19,12,49,19,19,0,22,74,39,14,11,61,71,26,112,44,9,43,45,45,57,62,34,67,2,25,240,9,13,66,4,5,192
Mobiluncus curtisii,6,30,51,10,15,20,15,29,52,14,5,0,9,12,25,11,16,5,4,109,301,54,20,54,77,254,169,200,29,25,47,22,1,19,6,23,16,19,10
Sphaerochaeta coccoides,6,226,148,197,7,11,7,10,14,8,21,0,28,24,68,14,21,32,24,21,18,25,11,47,62,65,75,69,13,44,16,9,213,14,11,17,16,19,152
Staphylococcus lugdunensis,23,92,59,66,15,10,14,20,70,96,22,0,16,78,166,13,9,31,16,117,62,5,66,31,34,40,8,5,0,38,14,31,2,186,13,35,9,121,139
Conchiformibius kuhniae,2,93,27,56,20,17,22,14,43,28,38,0,31,167,91,30,37,10,12,57,99,41,6,37,53,93,103,77,82,108,24,23,0,11,41,67,31,9,71
Mahella australiensis,13,5,12,248,2,7,2,10,15,1,42,0,57,25,40,22,24,9,12,21,82,81,14,72,100,165,125,124,11,21,40,11,285,15,4,1,9,5,28
Methanolobus tindarius,0,166,112,119,26,13,19,1,91,43,14,0,16,55,91,10,1,17,31,36,27,89,1,79,49,76,51,38,20,63,33,31,1,3,101,74,6,1,142
Meiothermus ruber,2,111,44,95,17,20,6,30,83,20,16,0,9,108,85,15,15,3,3,293,341,9,10,18,26,18,9,25,6,34,15,19,0,5,10,31,8,14,139
Terasakiella pusilla,6,42,33,229,15,23,27,10,15,11,8,0,7,120,49,21,5,6,7,53,81,10,5,14,136,114,133,112,137,86,27,15,1,10,17,36,8,7,70
Acinetobacter bouvetii,4,100,117,116,31,10,33,1,60,38,17,0,13,53,114,29,11,34,9,180,61,11,8,32,16,29,6,1,7,24,13,43,3,3,20,138,13,7,299
Bulleidia extructa,19,35,19,32,20,23,17,30,32,11,46,0,55,47,30,37,34,57,88,34,18,46,15,122,23,59,34,46,10,27,18,23,0,23,6,25,259,234,50
Desulfitibacter alkalitolerans,1,27,5,2,13,6,14,20,29,6,98,0,83,46,63,64,68,155,133,22,210,37,8,290,44,54,27,31,2,13,45,22,4,9,3,4,16,5,24
Haemophilus pittmaniae,0,25,24,60,10,10,4,1,52,29,6,0,3,632,48,9,14,13,153,12,54,12,3,7,13,27,16,5,10,29,3,13,273,2,5,24,0,4,70
Dialister micraerophilus,4,25,18,7,5,4,0,4,2,2,86,0,58,72,57,51,58,130,125,29,15,42,12,254,67,76,73,64,99,32,38,21,21,5,16,31,15,3,43
Erysipelothrix rhusiopathiae,20,86,129,118,21,43,24,42,16,19,27,0,27,126,159,24,20,18,31,94,17,16,30,29,14,32,13,26,19,48,12,42,0,22,11,60,21,19,187
Leadbetterella byssophila,3,29,44,14,2,1,4,1,151,7,10,0,6,11,21,9,22,11,12,148,821,48,1,56,28,23,50,35,16,27,0,5,0,0,6,15,0,1,20
Sulfurihydrogenibium subterraneum,0,5,27,7,0,1,0,0,1,1,19,0,11,49,2,36,18,19,13,2,6,4,0,40,228,142,244,208,259,126,97,24,0,2,3,2,9,7,28
Aerococcus urinae,6,151,150,60,17,38,28,5,15,49,24,0,15,70,162,19,15,10,12,113,79,5,9,12,15,10,6,12,8,43,12,26,2,7,18,102,14,20,273
Filifactor alocis,20,16,12,7,8,8,17,24,33,15,19,0,23,22,40,27,43,41,55,27,27,33,45,97,60,117,63,77,12,17,236,66,137,41,5,20,32,59,28
Acinetobacter baylyi,1,118,95,148,21,25,34,4,16,17,8,0,1,73,167,8,6,2,1,72,57,15,4,9,7,4,5,3,1,33,6,28,238,5,10,155,9,7,215
Clostridium perfringens,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1485,110,1,0,0,0,0,13,2,6,2,0,1,0,0,0,0,0,0,2,0,0
Tenacibaculum ovolyticum,0,61,58,39,11,18,17,4,71,10,11,0,5,45,21,8,12,29,32,95,467,10,1,83,71,132,82,74,22,17,10,10,1,1,9,7,5,3,65
Thiolinea disciformis,0,16,6,13,4,1,15,4,167,8,5,0,2,6,7,4,0,3,0,32,1092,4,5,6,32,28,45,27,9,36,2,4,1,2,4,6,0,0,13
Paludibacter propionicigenes,4,10,11,3,2,7,24,8,35,4,17,0,21,9,18,93,62,116,114,77,263,75,6,71,29,39,49,34,10,30,21,3,295,4,3,3,4,3,18
Bacillus subtilis,4,57,14,72,4,28,40,34,13,3,1,0,1,57,45,1,2,1,0,81,91,3,3,6,6,7,7,9,8,65,5,11,806,5,5,24,9,10,55
Desulfomonile tiedjei,3,3,169,14,4,3,4,2,5,3,16,0,16,53,34,18,10,5,4,19,36,17,4,32,111,131,193,160,115,104,135,78,5,19,0,4,13,37,13
Peptoniphilus duerdenii,1,45,71,51,23,2,8,2,26,21,5,0,7,45,30,5,6,14,3,120,58,62,4,58,58,164,73,91,186,105,43,15,1,3,28,49,26,26,56
Acaricomes phytoseiuli,5,59,65,38,5,9,11,3,66,27,6,0,14,29,27,14,15,3,3,198,552,19,6,14,36,58,69,55,12,21,16,17,0,9,8,36,5,3,55
Desulfatiglans anilini,3,64,21,31,3,11,12,15,37,7,16,0,17,85,17,29,33,6,12,94,351,66,6,71,65,64,90,56,45,85,32,16,2,15,5,35,20,11,22
Rheinheimera baltica,2,91,65,97,12,7,13,2,14,21,2,0,3,129,149,2,3,5,7,47,39,8,8,3,29,50,93,86,160,115,4,47,0,5,13,32,8,7,179
Staphylococcus simulans,7,73,68,65,9,12,12,5,19,8,25,0,28,225,82,19,17,28,24,68,61,5,16,51,6,5,7,8,2,48,2,20,328,60,7,48,8,12,67
Abiotrophia defectiva,6,58,39,221,37,16,16,4,17,26,13,0,8,69,99,11,21,5,27,114,47,22,6,28,14,36,10,5,2,13,71,15,326,10,9,17,16,10,85
Pontibacter roseus,0,47,41,236,13,13,37,6,13,12,20,0,36,44,36,25,28,128,120,67,172,71,12,70,27,38,54,50,9,25,13,7,1,8,7,15,1,12,31
Desulfohalotomaculum alkaliphilum,15,7,22,28,8,9,14,7,142,67,33,0,49,43,22,19,23,6,9,75,424,24,48,27,53,72,59,77,7,7,45,8,2,35,5,15,2,11,13
Facklamia ignava,1,89,51,63,87,9,13,0,8,45,2,0,4,62,210,3,2,0,1,228,55,2,3,2,13,44,2,4,1,17,16,24,3,2,32,74,12,74,258
Treponema brennaborense,13,26,113,8,18,19,32,24,15,8,25,0,55,14,25,52,65,36,30,16,18,82,46,95,60,65,70,65,59,79,90,47,0,37,15,10,40,34,7
Desulfitobacterium hafniense,3,7,9,10,19,11,20,51,8,2,46,0,71,2,48,47,66,18,21,11,60,77,20,61,65,50,40,34,4,8,76,17,477,12,0,0,8,12,5
Flavobacterium filum,1,66,47,42,9,6,19,1,129,8,6,0,4,17,56,17,16,0,0,105,796,2,0,5,12,14,6,5,1,19,2,11,2,1,13,19,6,0,31
Brachyspira innocens,0,182,132,134,14,9,17,5,50,17,45,0,40,46,94,31,32,32,35,53,7,24,2,72,23,22,10,4,11,21,8,28,0,0,57,88,5,3,129
Kingella kingae,3,165,73,72,15,9,14,11,50,32,15,0,5,38,67,4,1,32,40,60,29,28,5,40,47,31,47,31,101,62,34,35,0,5,55,50,24,20,128
Caldanaerobius polysaccharolyticus,6,0,15,9,1,5,1,4,1,0,28,0,17,4,21,29,29,18,15,11,14,22,15,74,119,333,255,291,7,3,70,8,4,16,0,5,0,2,17
Mycoplasma primatum,0,129,101,135,18,14,19,5,77,19,12,0,15,89,115,16,6,14,11,34,20,57,0,80,56,54,9,2,11,49,1,38,0,5,66,90,6,4,90
Streptococcus caballi,5,23,16,32,7,6,6,5,13,3,27,0,32,19,90,33,21,46,55,39,182,45,1,110,3,10,1,1,1,17,37,17,0,3,4,2,211,314,9
Streptococcus plurextorum,37,51,64,36,5,19,17,21,14,2,22,0,32,32,99,19,27,20,23,36,81,25,144,49,8,8,7,2,0,21,23,11,3,121,8,45,146,132,33
Neisseria oralis,2,81,22,35,29,8,26,5,55,48,12,0,20,293,103,11,10,7,11,227,57,14,6,22,33,36,16,11,3,26,3,18,0,8,28,27,4,10,113
Desulfatirhabdium butyrativorans,1,6,9,200,6,2,5,9,9,4,6,0,15,68,34,11,24,3,5,33,84,7,4,3,158,103,165,113,156,59,43,32,0,1,7,17,10,12,14
Terrimonas ferruginea,1,55,54,31,5,13,14,2,33,26,43,0,20,127,24,41,17,4,3,54,394,53,3,48,29,72,30,51,21,54,6,12,0,8,14,4,2,7,56
Staphylococcus lentus,9,79,46,53,5,0,8,4,18,20,47,0,32,101,77,31,26,47,52,70,221,17,23,86,12,47,10,17,1,42,2,10,6,57,4,21,18,19,83
Anaerococcus hydrogenalis,2,60,68,179,20,24,11,20,26,20,25,0,23,52,60,13,12,6,8,84,47,29,5,29,20,76,41,31,5,50,50,42,0,7,24,92,26,22,109
Pseudoglutamicibacter albus,1,51,28,161,72,8,14,2,12,49,7,0,1,42,159,5,4,0,1,218,108,5,4,2,13,24,1,1,3,14,26,30,0,1,5,79,4,10,247
Glaciecola pallidula,1,82,77,59,30,11,23,3,83,35,30,0,20,74,98,13,10,37,29,23,15,36,1,71,65,66,39,22,52,49,3,37,0,4,76,64,6,6,57
Leptonema illini,2,50,41,81,6,35,12,52,30,28,5,0,8,32,36,3,13,1,4,79,499,9,3,13,49,42,48,27,20,32,36,13,0,5,0,27,5,14,42
Rheinheimera perlucida,4,212,107,92,8,6,12,5,19,8,7,0,1,154,191,12,6,7,3,118,69,5,7,5,8,11,6,12,8,40,7,56,2,3,6,29,7,3,143
Halodesulfovibrio marinisediminis,2,96,99,98,14,14,14,14,59,29,10,0,18,16,75,16,4,38,39,34,20,81,5,88,55,57,26,19,36,40,3,11,0,4,50,48,19,16,131
Veillonella magna,6,6,14,6,5,10,5,14,2,0,74,0,84,32,34,55,81,27,36,14,27,42,6,79,54,85,67,74,9,12,40,12,303,4,1,9,26,26,15
Jonquetella anthropi,6,30,33,16,19,33,32,14,17,17,18,0,28,77,100,34,36,9,8,80,72,78,15,42,74,60,84,69,31,47,51,23,0,28,16,36,9,2,37
Alloscardovia criceti,1,0,9,4,4,5,4,2,14,5,6,0,3,16,3,15,16,3,28,6,25,42,1,26,102,245,267,293,8,9,119,20,2,9,5,9,22,7,17
Conchiformibius steedae,2,183,121,182,9,14,13,3,38,15,17,0,11,40,80,10,11,10,18,25,52,25,3,29,26,19,7,14,7,26,6,17,0,9,32,49,11,13,220
Lactobacillus antri,106,0,1,7,41,199,40,181,9,8,55,0,63,6,25,16,36,2,0,1,25,0,194,0,13,36,13,36,0,1,15,9,0,205,3,8,1,3,8
Helcococcus sueciensis,2,96,74,72,10,5,8,15,19,9,21,0,18,51,82,20,18,45,59,97,35,17,1,97,40,91,43,33,44,26,27,25,5,12,3,26,7,12,94
Spongiibacter marinus,10,60,24,179,30,20,56,22,29,14,26,0,23,118,37,20,12,16,22,46,67,15,27,21,18,22,36,25,31,76,20,14,54,17,35,32,3,4,77
Corynebacterium callunae,3,22,55,52,13,5,4,4,74,17,1,0,1,16,35,2,3,0,2,150,456,7,0,14,15,11,11,6,0,45,4,9,225,1,16,9,5,1,59
Providencia stuartii,4,32,23,26,9,3,0,7,38,28,3,0,1,49,33,0,0,5,5,25,16,10,1,7,56,56,197,191,283,145,17,9,1,1,7,7,1,1,54
Actinomyces suimastitidis,1,3,17,9,1,1,2,0,29,6,5,0,1,58,1,1,3,5,11,114,244,33,10,35,108,69,103,111,103,70,12,4,0,4,5,8,58,67,34
Niabella aurantiaca,1,10,36,13,30,7,70,18,32,10,3,0,2,33,7,7,3,56,59,54,163,37,5,36,40,113,124,131,37,81,29,11,0,15,4,16,15,3,33
Acidimicrobium ferrooxidans,2,33,62,43,2,8,5,8,37,8,8,0,3,54,36,6,16,5,10,146,449,28,6,29,23,13,34,25,34,70,40,14,0,12,7,17,12,4,35
Ahrensia kielensis,12,44,16,28,42,27,55,36,46,10,28,0,18,207,88,20,13,16,10,61,61,30,40,30,15,19,8,10,16,41,12,7,0,28,31,127,16,14,62
Treponema saccharophilum,0,49,62,5,6,34,9,19,12,5,15,0,13,16,9,40,24,23,36,29,89,152,3,170,52,69,71,55,12,55,99,47,0,4,4,13,7,3,29
Spirochaeta thermophila,1,23,16,14,12,24,16,25,15,4,11,0,8,38,20,11,15,6,15,13,87,48,9,53,165,111,166,119,132,70,18,12,0,3,5,7,0,5,33
Thermodesulfobium narugense,0,18,5,0,0,2,0,3,3,0,6,0,2,10,1,17,14,1,0,23,19,8,0,3,206,167,246,214,209,82,23,6,0,2,4,20,0,0,15
Nesterenkonia alba,0,39,52,71,6,18,10,40,52,27,10,0,10,50,56,26,17,1,2,191,383,1,5,3,12,13,14,15,8,57,12,19,0,8,10,25,6,11,48
Leuconostoc pseudomesenteroides,6,24,29,17,9,35,10,19,42,2,15,0,14,28,40,22,26,13,33,20,112,16,2,36,7,4,8,2,0,19,7,2,270,3,2,7,133,199,94
Peptostreptococcus stomatis,2,6,11,20,10,12,6,16,27,19,7,0,8,19,19,7,4,8,17,9,4,391,2,386,12,23,5,15,20,7,67,13,1,3,0,4,56,45,34
Proteus penneri,3,51,15,25,14,2,12,11,12,12,42,0,21,56,39,26,21,80,61,4,30,34,8,104,36,24,102,81,183,85,2,2,0,6,13,13,27,5,46
Pediococcus acidilactici,23,37,44,34,5,36,11,11,6,4,8,0,2,30,92,15,10,31,26,30,27,8,33,56,5,0,3,3,3,30,15,17,506,20,0,12,28,40,46
Caldicoprobacter faecalis,17,8,12,11,14,17,9,19,2,6,34,0,40,5,9,19,30,10,5,12,25,25,64,42,151,117,149,115,105,50,82,21,2,48,2,2,15,3,5
Brochothrix thermosphacta,6,42,26,45,5,6,4,16,7,12,5,0,1,56,52,5,3,2,3,67,73,29,6,12,2,9,4,7,1,22,17,5,633,11,1,23,9,8,66
Rathayibacter toxicus,3,76,34,18,7,2,4,1,59,19,5,0,0,10,27,1,5,14,10,181,452,44,1,44,18,30,35,38,0,32,23,14,1,3,11,11,5,3,46
Isosphaera pallida,1,72,57,98,5,8,8,10,39,15,7,0,16,67,79,13,21,12,6,69,265,21,7,24,30,24,35,23,15,78,12,20,2,13,5,37,13,7,47
Corynebacterium pseudodiphtheriticum,6,113,71,44,14,20,13,21,48,49,6,0,10,40,45,16,8,3,3,177,112,16,7,20,10,34,14,34,3,16,23,22,0,9,12,84,7,11,130
Streptococcus massiliensis,6,5,14,34,4,10,2,5,18,3,15,0,176,33,20,18,21,9,14,12,36,33,19,27,15,13,6,6,4,13,11,8,2,20,2,10,298,310,16
Corynebacterium ureicelerivorans,4,30,76,91,33,5,24,6,21,42,2,0,4,89,105,1,1,6,1,201,100,11,7,2,12,19,1,2,2,46,5,14,0,6,18,23,0,7,239
Enterovibrio nigricans,0,53,33,61,9,2,14,1,16,23,5,0,6,47,57,11,4,14,15,39,38,14,8,27,30,32,80,74,158,73,3,7,171,6,10,25,6,0,74
Capnocytophaga sputigena,5,71,19,171,18,4,10,1,79,26,1,0,5,93,44,3,2,0,5,118,77,18,4,25,11,7,3,0,0,28,15,15,0,2,2,137,3,4,220
Pseudopedobacter saltans,2,52,29,51,4,6,4,2,83,14,16,0,12,36,60,24,22,0,0,66,514,1,2,2,16,15,28,12,11,11,4,10,1,2,32,24,1,0,47
Alkaliphilus transvaalensis,1,5,16,1,4,4,0,9,7,1,65,0,43,35,50,49,62,69,80,11,20,32,3,151,62,163,74,99,9,9,34,12,0,6,4,4,5,14,0
Thermanaerovibrio acidaminovorans,2,26,25,11,7,6,1,9,19,7,8,0,20,20,44,25,35,3,4,55,147,5,10,12,84,85,148,100,73,24,95,44,0,8,3,5,8,0,28
Cellulophaga algicola,1,98,78,90,11,5,3,0,71,16,2,0,6,40,57,21,9,23,32,68,258,27,4,18,15,27,12,2,6,10,16,15,0,4,38,39,5,1,77
Haemophilus haemolyticus,2,26,27,24,9,5,11,0,135,61,2,0,2,315,40,0,4,15,154,30,9,4,4,19,9,31,27,32,45,75,1,9,0,3,7,15,3,2,47
Meiothermus cerbereus,0,44,41,124,7,10,7,8,15,3,3,0,4,56,66,1,4,4,1,154,147,5,2,4,58,43,84,63,55,40,31,19,0,4,1,18,2,3,70
Succinimonas amylolytica,7,53,28,93,4,4,5,8,15,19,12,0,19,46,37,19,8,131,141,57,25,58,14,45,33,30,30,27,21,34,16,15,0,9,22,18,7,3,63
Xylella fastidiosa,2,106,69,98,17,10,19,16,32,13,9,0,9,25,153,14,10,8,7,69,136,8,10,8,14,12,14,5,5,19,4,16,0,6,30,121,3,8,65
Cryptobacterium curtum,2,15,17,6,28,188,10,113,15,3,52,0,94,0,24,112,139,27,42,7,4,38,6,39,15,31,27,20,15,16,22,6,0,2,1,0,3,2,17
Psychroserpens burtonensis,2,119,55,46,13,8,12,7,68,13,25,0,13,33,23,20,21,11,5,69,247,26,6,24,34,31,18,4,7,22,0,13,0,4,47,60,2,6,41
Mesoflavibacter zeaxanthinifaciens,2,33,17,43,2,2,5,3,62,8,10,0,8,20,27,8,14,15,33,88,429,8,1,41,19,15,11,6,0,38,19,21,2,1,26,40,3,6,65
Campylobacter ureolyticus,0,5,8,6,3,4,6,3,19,4,5,0,2,18,18,4,5,2,7,14,24,369,2,390,12,40,9,18,34,32,9,7,0,9,11,21,5,7,17
Desulfobacca acetoxidans,2,18,4,4,17,16,23,16,19,3,9,0,9,29,27,12,22,6,5,10,65,18,38,13,112,91,125,119,151,38,28,2,0,40,4,14,18,3,16
Pirellula staleyi,0,43,10,44,2,8,10,3,63,12,22,0,18,97,42,20,28,29,34,99,286,15,4,61,5,8,17,6,7,32,5,8,0,5,11,29,4,1,56
Lactobacillus hilgardii,78,40,21,18,11,30,17,21,11,7,9,0,12,4,35,18,8,12,21,23,32,25,99,12,8,5,9,4,6,17,12,7,227,120,15,22,41,69,8
Syntrophobotulus glycolicus,3,16,40,5,6,10,10,34,2,0,19,0,21,17,25,26,32,7,8,10,27,10,12,17,32,74,47,62,7,1,33,11,445,6,1,4,26,12,14
Dermatophilus congolensis,1,68,33,55,2,2,9,2,24,11,3,0,3,90,56,14,2,72,60,66,218,26,1,28,13,13,16,7,7,28,11,9,0,3,2,48,8,3,110
Corynebacterium ammoniagenes,2,35,42,50,15,11,19,22,65,14,9,0,11,46,33,4,7,1,2,233,148,6,7,12,15,29,20,20,11,40,31,23,0,8,11,36,2,3,75
Flavobacterium gelidilacus,1,47,47,24,3,2,5,3,107,8,5,0,4,26,56,1,2,4,5,96,531,6,0,4,6,3,5,3,1,38,0,11,0,2,16,21,4,2,19
Providencia rustigianii,0,13,46,30,4,5,4,0,10,6,18,0,13,89,23,10,9,15,11,16,14,8,0,48,28,41,97,107,199,111,0,0,40,2,1,8,19,13,51
Runella slithyformis,2,39,19,23,3,10,15,6,33,9,16,0,12,37,25,8,9,24,21,66,223,42,2,56,29,39,43,25,31,34,2,2,153,5,4,13,14,6,8
Globicatella sanguinis,1,59,155,33,60,4,103,1,14,21,3,0,6,76,49,3,2,31,18,109,71,5,0,24,17,65,2,1,0,18,13,10,1,2,8,28,2,7,76
Haloglycomyces albus,0,33,57,205,5,9,9,7,28,11,11,0,8,49,63,20,19,1,3,86,237,7,2,17,19,36,21,20,0,17,8,21,0,3,12,21,6,2,24
Psychromonas arctica,4,85,59,61,24,8,13,5,40,21,22,0,16,60,59,5,2,16,18,51,75,62,1,69,30,20,10,8,16,19,2,19,0,3,57,57,4,4,71
Colwellia piezophila,0,59,60,62,25,14,29,6,49,30,9,0,14,27,85,8,3,33,10,32,49,26,3,39,48,34,26,18,35,47,3,11,0,4,43,58,4,2,83
Streptococcus sobrinus,19,18,4,20,4,19,15,8,9,0,2,0,5,1,4,2,3,5,2,12,41,7,12,10,3,2,2,4,0,7,69,9,247,6,1,0,206,267,22
Syntrophothermus lipocalidus,0,5,2,0,17,10,28,23,8,3,5,0,3,5,1,7,18,4,6,14,42,28,11,19,102,140,132,142,136,51,31,5,12,11,3,3,3,1,36
Treponema vincentii,7,22,21,8,12,8,1,12,32,14,29,0,28,16,16,18,17,5,13,39,12,103,38,99,47,85,70,67,8,28,56,11,1,49,3,20,9,7,31
Mobiluncus mulieris,2,31,39,59,14,17,14,20,60,15,7,0,7,31,12,7,6,2,4,73,285,14,3,24,40,62,26,23,8,19,11,12,0,3,31,18,11,11,34
Flavobacterium antarcticum,0,2,29,26,6,0,0,1,82,14,9,0,7,18,18,8,4,19,6,84,619,2,0,23,4,5,5,4,0,9,8,9,2,0,9,11,1,0,10
Streptococcus pseudoporcinus,3,34,31,62,6,9,9,4,11,3,5,0,17,60,97,16,9,7,2,19,101,21,0,31,2,3,4,4,0,29,12,17,143,5,1,8,97,88,72
Crocinitomix catalasitica,1,55,53,39,4,6,2,0,39,6,5,0,3,41,92,31,20,34,34,67,283,19,2,26,7,24,9,12,2,14,2,13,1,2,7,8,1,4,70
Psychrobacter sanguinis,1,40,44,68,10,3,11,1,52,26,2,0,7,36,39,2,5,2,7,123,50,2,0,7,13,6,8,10,22,17,2,105,0,1,26,181,0,2,106
Atopobium minutum,2,1,11,8,33,144,29,176,30,12,16,0,35,1,0,47,46,2,17,7,27,28,9,30,39,93,51,68,4,0,6,2,0,10,0,9,19,17,3
Joostella marina,6,38,30,48,31,4,24,7,61,9,0,0,5,30,18,30,16,6,7,59,369,9,28,13,5,11,13,3,2,3,7,9,0,19,35,16,1,1,49
Leucothrix mucor,5,31,29,45,10,5,15,8,53,7,18,0,15,68,13,14,8,5,9,34,145,19,7,20,52,58,59,38,56,19,10,17,1,8,27,49,4,1,40
Corynebacterium ulceribovis,1,36,34,38,21,13,23,10,55,20,24,0,17,46,20,13,24,18,19,108,159,13,14,23,9,28,10,7,8,52,22,14,0,5,24,35,9,4,41
Nitratifractor salsuginis,2,33,34,24,15,14,19,26,13,7,8,0,15,44,43,22,25,11,16,18,57,49,24,51,56,55,72,40,62,46,21,8,0,9,3,9,3,1,60
Streptococcus castoreus,6,27,17,42,5,9,8,2,9,6,41,0,34,34,27,24,42,24,14,15,90,15,3,49,0,3,2,3,2,29,6,4,293,1,1,10,43,49,21
Lactobacillus amylolyticus,16,22,19,18,9,155,14,8,9,3,5,0,7,0,290,4,5,0,0,16,15,4,10,3,1,1,2,2,0,11,8,8,228,16,2,6,36,53,0
Eubacterium xylanophilum,6,42,61,20,8,15,12,51,3,4,8,0,15,10,22,13,26,39,23,19,14,41,10,44,14,39,38,45,31,21,50,25,138,21,0,4,28,26,18
Alloscardovia omnicolens,0,78,66,75,3,31,1,31,11,2,41,0,27,9,20,54,27,57,69,18,65,18,1,95,11,9,18,17,24,17,4,2,0,1,0,3,2,6,72
Mycoplasma anseris,0,131,149,99,10,1,6,2,24,17,5,0,8,27,42,5,1,10,6,22,20,23,1,14,19,18,5,1,7,40,5,24,0,0,37,36,8,6,156
Dyadobacter beijingensis,1,14,16,4,37,16,43,17,39,9,19,0,16,64,34,14,20,18,30,24,133,47,8,57,38,37,39,47,16,10,11,10,0,8,7,26,6,17,29
Pedobacter glucosidilyticus,1,40,44,48,3,4,16,1,64,6,2,0,5,72,32,14,8,4,1,62,387,10,3,5,5,8,9,1,1,14,2,6,0,2,21,12,0,3,46
Solitalea canadensis,0,32,50,22,1,1,5,1,40,12,3,0,1,12,14,15,17,5,2,43,277,14,3,8,44,35,84,38,38,50,11,14,0,4,2,17,3,1,40
Streptococcus thoraltensis,5,34,27,64,2,15,7,2,11,6,1,0,2,29,38,5,4,2,4,59,72,2,6,6,2,4,2,3,0,35,14,11,119,1,9,33,117,156,46
Lactobacillus vaginalis,43,22,0,0,36,44,11,45,6,2,23,0,60,14,26,36,80,6,11,18,16,13,47,20,1,8,1,2,1,1,20,8,224,71,8,13,0,4,11
